iter	Passed	Remaining
0	1	119
1	2	108
2	3	116
3	4	114
4	5	111
5	7	110
6	8	107
7	9	104
8	10	101
9	11	99
10	12	97
11	13	95
12	13	93
13	14	92
14	16	90
15	17	89
16	19	93
17	20	93
18	21	91
19	22	90
20	23	88
21	24	87
22	25	85
23	26	84
24	27	82
25	28	81
26	29	79
27	30	78
28	34	83
29	35	83
30	36	81
31	37	80
32	38	78
33	39	77
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	48	69
41	48	67
42	50	66
43	51	64
44	51	63
45	53	62
46	54	60
47	55	59
48	55	58
49	57	57
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
